the_geom,BLDG_NUM,PRG__NUM,NAME,GRADES,ADDRESS,ZIPCODE,CATEGORY,TYPE,x_1,y_1
POINT (-76.64266675278692 39.28711467734809),4,4,Steuart Hill,Pre-K - 8.,30 S. Gilmor Street,21223,PK8,Traditional,1413475.42503,590354.091197
POINT (-76.68003141238741 39.34221757818064),5,5,Langston Hughes,Pre-K - 5.,5011 Arbutus Avenue,21215,ES,Traditional,1402829.17008,610385.163011
POINT (-76.6057623882412 39.31319754690319),7,7,Cecil,Pre-K - 5.,2000 Cecil Avenue,21218,ES,Traditional,1423880.00396,599897.264696
POINT (-76.59736271963178 39.2896100180029),8,8,City Springs,Pre-K - 8.,100 S. Caroline Street,21231,Charter,Conversion Charter,1426294.50701,591316.342553
POINT (-76.63269940511316 39.28742897663944),10,10,James McHenry,Pre-K - 6,31 S. Schroeder Street,21223,PK8,Traditional,1416296.17694,590479.765486
POINT (-76.63028779621258 39.306152000241795),11,11,Eutaw-Marshburn,Pre-K - 5.,1624 Eutaw Place,21217,ES,Traditional,1416951.15004,597302.016277
POINT (-76.64488565378979 39.25382421684929),12,12,Lakeland,Pre-K - 8.,2921 Stranden Road,21230,PK8,Traditional,1412894.54299,578226.327723
POINT (-76.58541549950363 39.298186088925355),13,13,Tench Tilghman,Pre-K - 8.,600 N. Patterson Park Avenue,21205,PK8,Traditional,1429661.80112,594455.13516
POINT (-76.59944251883833 39.32503449232151),50,15,Stadium School,6 - 8.,1300 Gorsuch Avenue,21218,MS,New Schools Initiative,1425649.23599,604216.447987
POINT (-76.60436355911321 39.303578694357796),16,16,Johnston Square,Pre-K - 5.,1101 Valley Street,21202,ES,Traditional,1424290.97394,596395.489875
POINT (-76.67385176270197 39.31914948464669),21,21,Hilton,Pre-K - 5.,3301 Carlisle Avenue,21216,ES,Traditional,1404606.95491,601989.143714
POINT (-76.62914390022225 39.28112128121365),22,22,George Washington,Pre-K - 5.,800 Scott Street,21230,ES,Traditional,1417311.87504,588186.388183
POINT (-76.5899050368125 39.28801910543118),23,23,Wolfe Street Academy,Pre-K - 5,245 S. Wolfe Street,21231,Charter,Conversion Charter,1428407.89484,590746.282342
POINT (-76.64448760161274 39.31421507338407),24,24,Westside,Pre-K - 5.,2235 N. Fulton Avenue,21217,ES,Traditional,1412921.60101,600222.886092
POINT (-76.58424472976051 39.303116436451376),25,25,Dr. Rayner Browne,Pre-K - 8.,1000 N. Montford Avenue,21213,PK8,Traditional,1429984.95107,596252.422904
POINT (-76.5881277644659 39.29358543175288),27,27,Commodore John Rodgers,Pre-K - 8.,100 N. Chester Street,21231,PK8,Traditional,1428901.78887,592775.964962
POINT (-76.64051266712622 39.30630448371885),157,28,William Pinderhughes,Pre-K - 8.,701 Gold Street,21217,PK8,Traditional,1414057.60497,597345.999785
POINT (-76.65039252813386 39.306772481580545),29,29,Matthew A. Henson,Pre-K - 5.,1600 N. Payson Street,21217,ES,Traditional,1411261.25787,597505.6015
POINT (-76.60246208865165 39.321824634393636),31,31,Coldstream Park,Pre-K - 6,1400 Exeter Hall Avenue,21218,PK8,Traditional,1424800.11006,603043.577957
POINT (-76.63593934668998 39.27982059164047),34,34,Charles Carroll Barrister,Pre-K - 5.,1327 Washington Boulevard,21230,ES,Traditional,1415390.18203,587704.896692
POINT (-76.64115239021086 39.298300573427184),35,35,Harlem Park,Pre-K - 8.,1401 W. Lafayette Avenue,21217,PK8,Traditional,1413888.04297,594430.013491
POINT (-76.59429004943233 39.31344952824794),36,37,Harford Heights,Pre-K - 5.,1919 N. Broadway,21213,ES,Traditional,1427125.58999,600003.266452
POINT (-76.61358062215977 39.31290882243763),39,39,Dallas F. Nicholas Sr.,Pre-K - 5.,201 E. 21St. Street,21218,ES,Traditional,1421668.34992,599782.643534
POINT (-76.68434286024845 39.33231006139663),42,42,Garrison,6 - 8.,3910 Barrington Road,21207,MS,Traditional,1401622.25812,606772.245697
POINT (-76.58541921176636 39.32801264676023),44,44,Montebello,Pre-K - 8.,2040 E. 32nd St,21218,Contract,Edison,1429611.4131,605318.901818
POINT (-76.61127434198312 39.27752717316184),45,45,Federal Hill,Pre-K - 8.,1040 William Street,21230,PK8,Traditional,1422375.77009,586898.356967
POINT (-76.57616487525868 39.28607214042696),47,47,Hampstead Hill Academy,Pre-K - 8.,500 S. Linwood Avenue,21224,Charter,Conversion Charter,1432300.21809,590054.905772
POINT (-76.55172057649588 39.3243777385068),49,49,Northeast,6 - 8.,5001 Moravia Road,21206,MS,Traditional,1439150.62992,604040.002801
POINT (-76.59944251883833 39.32503449232151),50,50,Abbottston,Pre-K - 5.,1300 Gorsuch Avenue,21218,ES,Traditional,1425649.23599,604216.447987
POINT (-76.60441058258782 39.33021392282056),51,51,Waverly,Pre-K - 8.,3400 Ellerslie Avenue,21218,PK8,Traditional,1424235.62694,606096.841207
POINT (-76.61515193903216 39.319750766751106),53,53,Margaret Brent,Pre-K - 8.,100 E. 26Th Street,21218,PK8,Traditional,1421213.25208,602272.822937
POINT (-76.61181722197132 39.32364939629509),54,54,Barclay,Pre-K - 8.,2900 Barclay Street,21218,PK8,Traditional,1422150.65506,603696.826651
POINT (-76.62989743105432 39.33209834939848),55,55,Hampden,Pre-K - 8.,3608 Chestnut Avenue,21211,PK8,Traditional,1417023.29687,606752.978347
POINT (-76.66753142779463 39.33091980538763),58,58,Dr. Nathan A. Pitts-Ashburton,Pre-K - 8.,3935 Hilton Rd,21215,PK8,Traditional,1406379.47794,606282.747004
POINT (-76.66341569165989 39.315178580108046),60,60,Gwynns Falls,Pre-K - 5.,2700 Gwynns Falls Parkway,21216,ES,Traditional,1407564.84007,600553.525851
POINT (-76.63229581617074 39.31173230484606),61,61,John Eager Howard,Pre-K - 5.,2011 Linden Avenue,21217,ES,Traditional,1416374.75486,599332.245813
POINT (-76.66269317238515 39.34470162439707),62,62,Edgecombe Circle,Pre-K - 8.,2835 Virginia Avenue,21215,PK8,Traditional,1407729.532,611307.595878
POINT (-76.66269901176244 39.30431374470704),63,63,Rosemont,Pre-K - 8.,2777 Prestman Street,21216,Charter,Conversion Charter,1407782.23498,596596.949446
POINT (-76.68371015419966 39.32610059476651),64,64,Liberty,Pre-K - 5.,3901 Maine Avenue,21207,ES,Traditional,1401809.06516,604511.16098
POINT (-76.62428483720448 39.30903290444691),66,66,Mount Royal,K - 8.,121 McMechen Street,21217,ES/MS,Traditional,1418645.4849,598358.267774
POINT (-76.67655548564748 39.309081963756874),67,67,Edgewood,Pre-K - 5.,1900 Edgewood Street,21216,ES,Traditional,1403855.01514,598319.498166
POINT (-76.67473309867181 39.28285928202797),73,73,Sarah M. Roach,Pre-K - 5.,3434 Old Frederick Road,21229,ES,Traditional,1404404.70597,588770.215756
POINT (-76.65871922020085 39.30085330461797),75,75,Calverton,Pre-K - 8.,1100 Whitmore Avenue,21216,PK8,Traditional,1408913.13691,595340.733783
POINT (-76.59469538638379 39.26805340840004),76,76,Francis Scott Key,Pre-K - 8.,1425 E. Fort Avenue,21230,ES/MS,Traditional,1427084.31514,583468.16468
POINT (-76.70513148361853 39.28342529558617),81,81,North Bend,Pre-K - 8.,181 North Bend Road,21229,PK8,Traditional,1395799.38099,588947.148473
POINT (-76.57963517182809 39.29529317021974),83,83,William Paca,Pre-K - 5.,200 N. Lakewood Ave.,21224,ES,Traditional,1431302.48912,593408.929575
