,cameraLocation,cameraNumber,cameraProject,Location 1,longitude,latitude,type
0,Eutaw and Lexington Market,1,Downtown,"(39.290996, -76.621073999999993)",-76.621074,39.290996,cctv
1,Eutaw and Fayette,2,Downtown,"(39.29048796517317, -76.623665143680341)",-76.6236651437,39.2904879652,cctv
2,Eutaw and Baltimore,3,Downtown,"(39.289324000000001, -76.620985000000005)",-76.620985,39.289324,cctv
3,Eutaw and Redwood,4,Downtown,"(39.288677999999997, -76.620947999999999)",-76.620948,39.288678,cctv
4,Eutaw and Lombard,5,Downtown,"(39.287528000000002, -76.620853999999994)",-76.620854,39.287528,cctv
5,Eutaw and Camden,6,Downtown,"(39.285245000000003, -76.620675000000006)",-76.620675,39.285245,cctv
6,Paca and Pratt,7,Downtown,"(39.286256999999999, -76.622129000000001)",-76.622129,39.286257,cctv
7,Greene and Lombard,8,Downtown,"(39.287415000000003, -76.623615999999998)",-76.623616,39.287415,cctv
8,Greene and Baltimore,9,Downtown,"(39.289222000000002, -76.623694999999998)",-76.623695,39.289222,cctv
9,Greene and Fayette,10,Downtown,"(39.290332999999997, -76.623777000000004)",-76.623777,39.290333,cctv
10,Greene and Lexington,11,Downtown,"(39.291376999999997, -76.623836999999995)",-76.623837,39.291377,cctv
11,Paca and Fayette,12,Downtown,"(39.290370000000003, -76.622411)",-76.622411,39.29037,cctv
12,S Howard St and W Lombard St,13,Downtown,"(39.289645356378202, -76.624159236676732)",-76.6241592367,39.2896453564,cctv
13,S Howard St and W Pratt St,14,Downtown,"(39.286315000000002, -76.619369000000006)",-76.619369,39.286315,cctv
14,S Howard St and W Camden St,15,Downtown,"(39.285302000000001, -76.619282999999996)",-76.619283,39.285302,cctv
15,S Hanover and W Pratt St,16,Downtown,"(39.286451999999997, -76.616191000000001)",-76.616191,39.286452,cctv
16,Hopkins Pl and W Lombard St,17,Downtown,"(39.287667999999996, -76.617692000000005)",-76.617692,39.287668,cctv
17,Park Ave and W Baltimore St,18,Downtown,"(39.289383999999998, -76.617789999999999)",-76.61779,39.289384,cctv
18,S Howard St and W Baltimore St,19,Downtown,"(39.289386, -76.619479999999996)",-76.61948,39.289386,cctv
