,Location 1,longitude,latitude,type
0,"301 32nd St Baltimore, MD ",-76.5230489,39.325398,park
1,"1530 Montpelier St Baltimore, MD ",-76.5977396,39.3215717,park
2,"3111 Presstman St Baltimore, MD ",-76.6698711,39.3042646,park
3,"5200 Alhambra Ave Baltimore, MD ",-76.6058855,39.3526969,park
4,"1002 Harford Rd Baltimore, MD ",-76.5932525,39.3185764,park
5,"2339 Boston St Baltimore, MD ",-76.5772274,39.2788228,park
6,"1116 Andover Rd Baltimore, MD ",-76.59976885,39.3369425,park
7,"240 Laurens St Baltimore, MD ",-76.6287141,39.30958265,park
8,"1322 Asbury Rd Baltimore, MD ",-76.6515104,39.370892,park
9,"2304 Atlantic Ave Baltimore, MD ",-76.6481798,39.2609889,park
10,"906 Pratt St Baltimore, MD ",0.0,0.0,park
11,"1400 Cathedral St Baltimore, MD ",-76.6191543,39.3054411,park
12,"1601 Pennsylvania Ave Baltimore, MD ",-76.6340200054,39.3032871,park
13,"5101 Mayview Ave Baltimore, MD ",-76.5494173,39.331245,park
14,"2201 Calvert St Baltimore, MD ",-76.6103772,39.2346244,park
15,"200 Calvert St Baltimore, MD ",-76.610216,39.234668,park
16,"2800 Pulaski Hwy Baltimore, MD ",-76.5773608394,39.29510025,park
17,"2500 Belvedere Ave Baltimore, MD ",0.0,0.0,park
18,"1710 Baltimore St Baltimore, MD ",-76.5251439,39.295335,park
19,"University Ave Baltimore, MD ",-76.7110955,39.2694494,park
20,"3000 Madison St Baltimore, MD ",0.0,0.0,park
21,"3800 Sinclair La Baltimore, MD ",-76.5633660705,39.31395885,park
22,"2601 Boston St Baltimore, MD ",-76.5797887,39.2800002,park
23,"5400 Bucknell Rd Baltimore, MD ",-76.5341795948,39.3315208,park
24,"4001 Buena Vista Ave Baltimore, MD ",-76.6405518,39.335419,park
25,"6300 Walther Ave Baltimore, MD ",-76.5439069482,39.35528985,park
26,"4910 Park Heights Ave Baltimore, MD ",-76.6734593257,39.3467341,park
27,"1601 Calvert St Baltimore, MD ",-76.6103772,39.2346244,park
28,"801 Calvert St Baltimore, MD ",-76.6103772,39.2346244,park
29,"2007 Old Cold Spring La Baltimore, MD ",-76.6558459,39.3492318,park
30,"3001 Boston St Baltimore, MD ",-76.5699967,39.276827,park
31,"115 Carlton St Baltimore, MD ",0.0,0.0,park
32,"1351 Eden St Baltimore, MD ",0.0,0.0,park
33,"838 Carroll St Baltimore, MD ",-76.6301772,39.282127,park
34,"2025 Fairmount Ave Baltimore, MD ",-76.5962654,39.4040863,park
35,"2311 Ashton St Baltimore, MD ",-76.6533562,39.2810013,park
36,"909 22nd St Baltimore, MD ",0.0,0.0,park
37,"601 Chestnut Hill Ave Baltimore, MD ",-76.6066502,39.3339984,park
38,"623 Eden St Baltimore, MD ",0.0,0.0,park
39,"6000 Chinquapin Pkwy Baltimore, MD ",-76.5987223475,39.3661990074,park
40,"1600 Baltimore St Baltimore, MD ",-76.5251439,39.295335,park
41,"2801 Harford Rd Baltimore, MD ",-76.5912528,39.3152576,park
42,"1401 Filmore St Baltimore, MD ",0.0,0.0,park
43,"2131 Hoffman St Baltimore, MD ",0.0,0.0,park
44,"300 President St Baltimore, MD ",0.0,0.0,park
45,"1100 Park Ave Baltimore, MD ",-76.6209878,39.3046269,park
46,"280 Dolphin St Baltimore, MD ",-76.6233891,39.3041561,park
47,"601 Conway St Baltimore, MD ",0.0,0.0,park
48,"3700 Cottage Ave Baltimore, MD ",-76.6589125774,39.33151525,park
49,"3401 Cotwood Pl Baltimore, MD ",-76.656764,39.328856,park
50,"1641 Carey St Baltimore, MD ",0.0,0.0,park
51,"4416 Curtis Ave Baltimore, MD ",-76.5870872,39.225568,park
52,"4915 Greenspring Ave Baltimore, MD ",-76.6541944513,39.3531897,park
53,"301 Hilton St Baltimore, MD ",0.0,0.0,park
54,"1600 Desoto Rd Baltimore, MD ",-76.6574075,39.2664431,park
55,"5501 Ivanhoe Ave Baltimore, MD ",-76.6032275,39.3568373,park
56,"1719 Park Ave Baltimore, MD ",-76.6271693318,39.3098655,park
57,"1522 Bentalou St Baltimore, MD ",0.0,0.0,park
58,"911 Eden St Baltimore, MD ",0.0,0.0,park
59,"2601 Edgecombe Cir Baltimore, MD ",-76.6604412,39.3430417,park
60,"835 Allendale St Baltimore, MD ",-76.6782379297,39.29748615,park
61,"2821 Gwynns Falls Pkwy Baltimore, MD ",-76.6648132681,39.3144340842,park
62,"420 Ellwood Ave Baltimore, MD ",0.0,0.0,park
63,"3416 Elm Ave Baltimore, MD ",-76.6312951,39.3291401,park
64,"3347 Cliftmont Ave Baltimore, MD ",-76.5707899,39.3178256,park
65,"1200 2000 Eutaw Pl Baltimore, MD ",0.0,0.0,park
66,"Northern Pkwy Baltimore, MD ",-76.6929928,39.3476974,park
67,"4501 Fairing Ct Baltimore, MD ",-76.5984363,39.224568,park
68,"401 Fawcett St Baltimore, MD ",-76.6221624512,39.31544965,park
69,"101 Frederick St Baltimore, MD ",0.0,0.0,park
70,"300 Warren Ave Baltimore, MD ",-76.6091249925,39.27956925,park
71,"2700 Light St Baltimore, MD ",-76.6133152,39.2841955,park
72,"1627 Bolton St Baltimore, MD ",-76.6271555102,39.3080663265,park
73,"2501 Maisel St Baltimore, MD ",-76.639233,39.263397,park
74,"4249 Flowerton Rd Baltimore, MD ",-76.6883898546,39.2978401,park
75,"2900 Hillsdale Rd Baltimore, MD ",-76.700051875,39.32085575,park
76,"1100 Forrest St Park Baltimore, MD ",0.0,0.0,park
77,"4000 Hawkins Point Rd Baltimore, MD ",-76.5512715843,39.2022191302,park
78,"6401 Beckley St Baltimore, MD ",-76.5351114318,39.2671563,park
79,"310 28th St Baltimore, MD ",0.0,0.0,park
80,"3350 Dulany St Baltimore, MD ",-76.6732097,39.2748846,park
81,"1301 Lexington St Baltimore, MD ",0.0,0.0,park
82,"Frederick Ave Baltimore, MD ",-76.6819701,39.2817727,park
83,"3560 3rd St Baltimore, MD ",-76.6071992,39.2381378,park
84,"3311 Garrison Ave Baltimore, MD ",0.0,0.0,park
85,"101 Key Hwy Baltimore, MD ",-76.6120539395,39.28042875,park
86,"Gelston Dr Baltimore, MD ",-76.6808697,39.2956326,park
87,"2304 Greenmount Ave Baltimore, MD ",-76.6096838,39.315925,park
88,"2336 Druid Park Dr Baltimore, MD ",-76.6546801087,39.3296984098,park
89,"2100 Haines St Baltimore, MD ",-76.6281907,39.2718626,park
90,"5 39th St Baltimore, MD ",0.0,0.0,park
91,"2731 Longwood St Baltimore, MD ",0.0,0.0,park
92,"3421 Harlem Ave Baltimore, MD ",-76.6748978,39.2949484,park
93,"1808 1 2 W Lanvale St Baltimore, MD ",-76.6465216667,39.2977172222,park
94,"1511 Lafayette Ave Baltimore, MD ",-76.7366219,39.2806598,park
95,"1215 Lafayette Ave Baltimore, MD ",-76.7366219,39.2806598,park
96,"1801 Lanvale St Baltimore, MD ",0.0,0.0,park
97,"1300 Harlem Ave Baltimore, MD ",-76.6390447,39.2969623,park
98,"1201 Lanvale St Baltimore, MD ",0.0,0.0,park
99,"711 Arlington Ave Baltimore, MD ",-76.7057479,39.226499,park
100,"610 Vincent St Baltimore, MD ",0.0,0.0,park
101,"1211 Harlem Ave Baltimore, MD ",-76.6378631,39.2960855,park
102,"1820 Lauretta Ave Baltimore, MD ",-76.6466028163,39.2946059184,park
103,"1724 Franklin St Baltimore, MD ",0.0,0.0,park
104,"513 Mount St Baltimore, MD ",0.0,0.0,park
105,"1201 Edmondson Ave Baltimore, MD ",-76.6375758,39.2953341,park
106,"1500 Edmondson Ave Baltimore, MD ",-76.6419682,39.2954512,park
107,"420 27th St Baltimore, MD ",0.0,0.0,park
108,"1701 Charles St Baltimore, MD ",-76.6297372,39.4154699,park
109,"600 Braddish Ave Baltimore, MD ",-76.6596719,39.2961131,park
110,"415 Lafayette Ave Baltimore, MD ",-76.73650175,39.2802121,park
111,"1240 Henry St Baltimore, MD ",-76.6080359,39.2749338,park
112,"Harford Rd Baltimore, MD ",-76.5932525,39.3185764,park
113,"3100 Phelps La Baltimore, MD ",-76.671971431,39.2867994828,park
114,"1024 43rd St Baltimore, MD ",0.0,0.0,park
115,"500 Lombard St Baltimore, MD ",0.0,0.0,park
