,rel_type,Location 1,longitude,latitude,type
0,Church,"2001 NORTH AVE Baltimore, MD ",-76.4596949,39.310429,religious
1,Church,"300 BROADWAY Baltimore, MD ",-76.5943628187,39.2948218,religious
2,Church,"5010 PARK HEIGHTS AVE Baltimore, MD ",-76.6742679,39.347764,religious
3,Church,"3606 ROGERS AVE Baltimore, MD ",0.0,0.0,religious
4,Church,"2504 HILTON ST Baltimore, MD ",0.0,0.0,religious
5,Church,"2402 FAYETTE ST Baltimore, MD ",0.0,0.0,religious
6,Church,"4303 OLD YORK RD Baltimore, MD ",-76.6078094441,39.3412331154,religious
7,Church,"2300 LLEWELYN AVE Baltimore, MD ",-76.5850099,39.307458,religious
8,Church,"4200 LIBERTY HEIGHTS AVE Baltimore, MD ",-76.6889406302,39.3297855,religious
9,Church,"1099 SCOTT ST Baltimore, MD ",-76.6284004632,39.27975145,religious
10,Church,"1701 MADISON AVE Baltimore, MD ",-76.630906,39.306461,religious
11,Church,"1206 ETTING ST Baltimore, MD ",-76.6285684,39.3009397,religious
12,Church,"4857 REISTERSTOWN RD Baltimore, MD ",-76.6775237463,39.34226695,religious
13,Church,"2621 OSWEGO AVE Baltimore, MD ",-76.6609919,39.336174,religious
14,Church,"4711 EDMONDSON AVE Baltimore, MD ",-76.6994717538,39.2923479,religious
15,Church,"430 BELVEDERE AVE Baltimore, MD ",0.0,0.0,religious
16,Church,"430 BELVEDERE AVE Baltimore, MD ",0.0,0.0,religious
17,Church,"1719 OLIVER ST Baltimore, MD ",-76.6500448,39.3680983,religious
18,Church,"4315 SIDEHILL RD Baltimore, MD ",-76.6918473788,39.2976347,religious
19,Church,"1000 ELLWOOD AVE Baltimore, MD ",0.0,0.0,religious
20,Church,"2616 RIDGELY ST Baltimore, MD ",-76.6461223306,39.2615898,religious
21,Church,"2001 FREDERICK AVE Baltimore, MD ",-76.6486928,39.2860213,religious
22,Church,"433 MILLINGTON AVE Baltimore, MD ",-76.6564189,39.2804397,religious
23,Church,"4301 RASPE AVE Baltimore, MD ",-76.534611992,39.34901075,religious
24,Church,"1020 LAFAYETTE AVE Baltimore, MD ",-76.7366219,39.2806598,religious
25,Church,"1616 WILKENS AVE Baltimore, MD ",-76.64296475,39.2836417,religious
26,Church,"630 PULASKI ST Baltimore, MD ",0.0,0.0,religious
27,Church,"1108 WOLFE ST Baltimore, MD ",0.0,0.0,religious
28,Church,"2223 JEFFERSON ST Baltimore, MD ",-76.5858079,39.296394,religious
29,Church,"2500 EDMONDSON AVE Baltimore, MD ",-76.6567246745,39.29494765,religious
30,Church,"819 DUKELAND ST Baltimore, MD ",0.0,0.0,religious
31,Church,"1630 NORTH AVE Baltimore, MD ",0.0,0.0,religious
32,Church,"3501 CHARLES ST Baltimore, MD ",-76.6297372,39.4154699,religious
33,Church,"6000 ERDMAN AVE Baltimore, MD ",-76.5452426442,39.30109445,religious
34,Church,"1352 JAMES ST Baltimore, MD ",-76.6375955928,39.2807851,religious
35,Church,"2654 POLK ST Baltimore, MD ",-76.5951039,39.320437,religious
36,Church,"2028 LOMBARD ST Baltimore, MD ",0.0,0.0,religious
37,Church,"1316 PARK AVE Baltimore, MD ",-76.6241743141,39.30642535,religious
38,Church,"214 LANVALE ST Baltimore, MD ",0.0,0.0,religious
39,Church,"2039 EDMONDSON AVE Baltimore, MD ",-76.6501988543,39.2948898,religious
40,Church,"2101 FREDERICK AVE Baltimore, MD ",-76.6500633,39.2855598,religious
41,Church,"3525 CATON AVE Baltimore, MD ",-76.6677757,39.2675413,religious
42,Church,"30 NORTH AVE Baltimore, MD ",0.0,0.0,religious
43,Church,"1900 SAINT PAUL ST Baltimore, MD ",-76.615217463,39.3119934,religious
44,Church,"3000 HILLEN RD Baltimore, MD ",-76.5896267215,39.32551125,religious
45,Church,"1915 EDMONDSON AVE Baltimore, MD ",-76.6478023197,39.29498555,religious
46,Church,"2217 NORTH AVE Baltimore, MD ",-76.4596949,39.310429,religious
47,Church,"2211 DIVISION ST Baltimore, MD ",-76.6386202,39.3087171,religious
