,type,Location 1,longitude,latitude
0,shelter,"11 Clement St Baltimore, MD ",0.0,0.0
1,shelter,"1031 Monument St Baltimore, MD ",0.0,0.0
2,shelter,"4 Central Baltimore, MD ",-76.6717893,39.3456985
3,shelter,"701 Charles Baltimore, MD ",-76.6170377,39.3184275
4,shelter,"1001 Fayette St Baltimore, MD ",0.0,0.0
5,shelter,"1211 Chester St Baltimore, MD ",0.0,0.0
6,shelter,"1029 Baltimore St Baltimore, MD ",-76.5251439,39.295335
7,shelter,nan,70.3800314,34.220389
8,shelter,"1114 Mount St Baltimore, MD ",0.0,0.0
9,shelter,"1228 Baltimore Baltimore, MD ",-76.6107589,39.2908816
10,shelter,"301 High St Baltimore, MD ",0.0,0.0
11,shelter,"204 25th St Baltimore, MD ",0.0,0.0
12,shelter,"201 Ave &amp; 139 E North Ave Baltimore, MD ",0.0,0.0
13,shelter,"1114 Calvert St Baltimore, MD ",-76.6103772,39.2346244
14,shelter,"725 Falls Way Baltimore, MD ",0.0,0.0
15,shelter,"111 Mulberry St Baltimore, MD ",0.0,0.0
16,shelter,"2305 Charles St Baltimore, MD ",-76.6297372,39.4154699
17,shelter,"323 25th St Baltimore, MD ",0.0,0.0
18,shelter,"41011 Old York Rd Baltimore, MD ",-76.5588129,39.590003
19,shelter,"2304 Belair Rd Baltimore, MD ",-76.5784833033,39.3177864
20,shelter,"1200 Collington Ave Baltimore, MD ",0.0,0.0
21,shelter,"1029 Baltimore St Baltimore, MD ",-76.5251439,39.295335
22,shelter,nan,70.3800314,34.220389
23,shelter,"3500 Clifton Ave Baltimore, MD ",-76.6762048,39.3111143
24,shelter,"3500 Clifton Ave Baltimore, MD ",-76.6762048,39.3111143
25,shelter,"949 Gorsuch Ave Baltimore, MD ",-76.6030932229,39.32565185
26,shelter,"301 High St Baltimore, MD ",0.0,0.0
27,shelter,"210 Madison St Baltimore, MD ",0.0,0.0
28,shelter,"204 25th St Baltimore, MD ",0.0,0.0
29,shelter,"1814 Maryland Ave Baltimore, MD ",-76.6180815874,39.31017555
30,shelter,"1114 Calvert St Baltimore, MD ",-76.6103772,39.2346244
31,shelter,"700 Eutaw Baltimore, MD ",-76.6215604104,39.29699925
32,shelter,"1600 Rutland Ave Baltimore, MD ",-76.5931198234,39.3090101
33,shelter,"140 West St Baltimore, MD ",0.0,0.0
34,shelter,"2601 Ulman Ave Baltimore, MD ",-76.6582658856,39.32957515
35,shelter,"402 Bond St Baltimore, MD ",0.0,0.0
36,shelter,"1400 Lombard Baltimore, MD ",-76.6396168849,39.28675055
37,shelter,"1701 Pratt Baltimore, MD ",-76.6438259456,39.28502705
38,shelter,"1701 McCollough St Baltimore, MD ",0.0,0.0
39,shelter,"11 Clement St Baltimore, MD ",0.0,0.0
