,BuildingAddress,Location,longitude,latitude,type
0,1909 W NORTH AVE,"(39.30952601, -76.64848892)",-76.64848892,39.30952601,vacant
1,1734 APPLETON ST,"(39.30856758, -76.64921157)",-76.64921157,39.30856758,vacant
2,522 N CAREY ST,"(39.29482152, -76.63877572)",-76.63877572,39.29482152,vacant
3,317 N GILMOR ST,"(39.29261888, -76.64231678)",-76.64231678,39.29261888,vacant
4,1324 W LOMBARD ST,"(39.28680988, -76.63888529)",-76.63888529,39.28680988,vacant
5,45 S ARLINGTON AVE,"(39.28713548, -76.63498941)",-76.63498941,39.28713548,vacant
6,319 S MONROE ST,"(39.28383911, -76.64647246)",-76.64647246,39.28383911,vacant
7,235 PARK AVE,"(39.29280154, -76.6178644)",-76.6178644,39.29280154,vacant
8,1329 SARGEANT ST,"(39.28035426, -76.63645611)",-76.63645611,39.28035426,vacant
9,1203 WASHINGTON BLVD,"(39.28150228, -76.63396506)",-76.63396506,39.28150228,vacant
10,1253 WASHINGTON BLVD,"(39.280852, -76.6348142)",-76.6348142,39.280852,vacant
11,1136 W HAMBURG ST,"(39.28010139, -76.63055854)",-76.63055854,39.28010139,vacant
12,1121 NANTICOKE ST,"(39.28058109, -76.63071342)",-76.63071342,39.28058109,vacant
13,622 ARCHER ST,"(39.28160587, -76.63017981)",-76.63017981,39.28160587,vacant
14,1710 CLARKSON ST,"(39.27018816, -76.61614134)",-76.61614134,39.27018816,vacant
15,1532 N BOND ST,"(39.30815721, -76.59707552)",-76.59707552,39.30815721,vacant
16,1816 N MILTON AVE,"(39.31174375, -76.58335172)",-76.58335172,39.31174375,vacant
17,1516 RUTLAND AVE,"(39.30822909, -76.59304661)",-76.59304661,39.30822909,vacant
18,2131 E OLIVER ST,"(39.30757991, -76.58751523)",-76.58751523,39.30757991,vacant
19,530 N BELNORD AVE,"(39.29769466, -76.57887137)",-76.57887137,39.29769466,vacant
20,3017 MCELDERRY ST,"(39.29784806, -76.57460498)",-76.57460498,39.29784806,vacant
21,127 N MILTON AVE,"(39.29373565, -76.58171453)",-76.58171453,39.29373565,vacant
22,108 N CLINTON ST,"(39.29380306, -76.57120245)",-76.57120245,39.29380306,vacant
23,2041 W NORTH AVE,"(39.30941765, -76.65104057)",-76.65104057,39.30941765,vacant
24,2035 W NORTH AVE,"(39.30942276, -76.65089166)",-76.65089166,39.30942276,vacant
25,2033 W NORTH AVE,"(39.30942443, -76.65084103)",-76.65084103,39.30942443,vacant
26,2031 W NORTH AVE,"(39.30942603, -76.65079304)",-76.65079304,39.30942603,vacant
27,2017 W NORTH AVE,"(39.30943944, -76.65044524)",-76.65044524,39.30943944,vacant
28,1810 N PAYSON ST,"(39.30902061, -76.65010741)",-76.65010741,39.30902061,vacant
29,1806 N PAYSON ST,"(39.30894358, -76.65010312)",-76.65010312,39.30894358,vacant
30,1804 N PAYSON ST,"(39.30890577, -76.650101)",-76.650101,39.30890577,vacant
31,2437 W NORTH AVE,"(39.30918947, -76.65702099)",-76.65702099,39.30918947,vacant
32,1624 MORELAND AVE,"(39.30688496, -76.6560888)",-76.6560888,39.30688496,vacant
33,2514 RIGGS AVE,"(39.300868, -76.65722459)",-76.65722459,39.300868,vacant
34,2741 W NORTH AVE,"(39.30894488, -76.66247273)",-76.66247273,39.30894488,vacant
35,1700 ASHBURTON ST,"(39.30744314, -76.66243699)",-76.66243699,39.30744314,vacant
36,2841 W NORTH AVE,"(39.30884735, -76.66500262)",-76.66500262,39.30884735,vacant
37,1621 POPLAR GROVE ST,"(39.30658799, -76.6653513)",-76.6653513,39.30658799,vacant
38,1618 N ELLAMONT ST,"(39.30623418, -76.67108776)",-76.67108776,39.30623418,vacant
39,2928 RIGGS AVE,"(39.30025395, -76.66692907)",-76.66692907,39.30025395,vacant
40,715 MOUNT HOLLY ST,"(39.29580061, -76.67963706)",-76.67963706,39.29580061,vacant
41,212 S COLLINS AVE,"(39.28283004, -76.68371017)",-76.68371017,39.28283004,vacant
42,3809 BONNER ROAD,"(39.32267983, -76.68239714)",-76.68239714,39.32267983,vacant
43,3701 W FOREST PARK AVE,"(39.32520817, -76.67967628)",-76.67967628,39.32520817,vacant
44,3313 ALTO ROAD,"(39.31714857, -76.67350752)",-76.67350752,39.31714857,vacant
45,2814 VIOLET AVE,"(39.32986233, -76.66222642)",-76.66222642,39.32986233,vacant
46,4200 PALL MALL ROAD,"(39.33901314, -76.66179683)",-76.66179683,39.33901314,vacant
47,2535 MADISON AVE,"(39.31461196, -76.63929013)",-76.63929013,39.31461196,vacant
48,3640 PAINE ST,"(39.3323183, -76.63056992)",-76.63056992,39.3323183,vacant
49,1244 W 37TH ST,"(39.33240931, -76.63707373)",-76.63707373,39.33240931,vacant
50,0  ,"(39.3339831, -76.64485367)",-76.64485367,39.3339831,vacant
51,2701 HAMPDEN AVE,"(39.31940238, -76.62309868)",-76.62309868,39.31940238,vacant
52,336 E 21ST ST,"(39.3136377, -76.61153797)",-76.61153797,39.3136377,vacant
53,4127 W ROGERS AVE,"(39.34662388, -76.69087433)",-76.69087433,39.34662388,vacant
54,5302 MAPLE AVE,"(39.35123971, -76.67777092)",-76.67777092,39.35123971,vacant
55,6014 YORK ROAD,"(39.3667341, -76.61026276)",-76.61026276,39.3667341,vacant
56,603 ORKNEY ROAD,"(39.36261319, -76.60643922)",-76.60643922,39.36261319,vacant
57,600 TUNBRIDGE ROAD,"(39.35658363, -76.60787716)",-76.60787716,39.35658363,vacant
58,4606 CRADDOCK AVE,"(39.34667216, -76.60171859)",-76.60171859,39.34667216,vacant
59,1934 E 28TH ST,"(39.3240416, -76.5886153)",-76.5886153,39.3240416,vacant
60,1647 CHILTON ST,"(39.32731222, -76.59220834)",-76.59220834,39.32731222,vacant
61,1640 NORTHGATE ROAD,"(39.34520722, -76.58768063)",-76.58768063,39.34520722,vacant
62,1567 CARSWELL ST,"(39.32227105, -76.59528329)",-76.59528329,39.32227105,vacant
63,2738 HARFORD ROAD,"(39.32126573, -76.59106094)",-76.59106094,39.32126573,vacant
64,3625 CHESTERFIELD AVE,"(39.31875134, -76.56380036)",-76.56380036,39.31875134,vacant
65,3438 6TH ST,"(39.23953056, -76.6010089)",-76.6010089,39.23953056,vacant
66,2600 QUEEN ANNE ROAD,"(39.3152955, -76.68822771)",-76.68822771,39.3152955,vacant
67,6102 ALTA AVE,"(39.3541709, -76.54502735)",-76.54502735,39.3541709,vacant
68,3906 PARKSIDE DR,"(39.33024502, -76.56742165)",-76.56742165,39.33024502,vacant
69,1726 APPLETON ST,"(39.30841552, -76.64920351)",-76.64920351,39.30841552,vacant
70,2002 PRESBURY ST,"(39.30800597, -76.65030361)",-76.65030361,39.30800597,vacant
71,1834 LAURENS ST,"(39.30327593, -76.64742143)",-76.64742143,39.30327593,vacant
72,1104 N CARROLLTON AVE,"(39.30139077, -76.63768238)",-76.63768238,39.30139077,vacant
73,1932 MOSHER ST,"(39.29997845, -76.64873347)",-76.64873347,39.29997845,vacant
74,930 N MOUNT ST,"(39.29980611, -76.6446717)",-76.6446717,39.29980611,vacant
75,1515 MOSHER ST,"(39.2997724, -76.64245296)",-76.64245296,39.2997724,vacant
76,805 N BRICE ST,"(39.2978901, -76.64974531)",-76.64974531,39.2978901,vacant
77,707 N MONROE ST,"(39.29682003, -76.64715186)",-76.64715186,39.29682003,vacant
78,310 N BRUCE ST,"(39.29235262, -76.64485001)",-76.64485001,39.29235262,vacant
79,1708 LEMMON ST,"(39.28584138, -76.64425453)",-76.64425453,39.28584138,vacant
80,121 S CALHOUN ST,"(39.28562872, -76.63911396)",-76.63911396,39.28562872,vacant
81,1321 W PRATT ST,"(39.28532442, -76.63859617)",-76.63859617,39.28532442,vacant
82,2110 WILHELM ST,"(39.28370048, -76.6504335)",-76.6504335,39.28370048,vacant
83,2003 MCHENRY ST,"(39.28397543, -76.64890327)",-76.64890327,39.28397543,vacant
84,2422 1/2 PENNSYLVANIA AVE,"(39.30963682, -76.64232212)",-76.64232212,39.30963682,vacant
85,1627 W NORTH AVE,"(39.30977597, -76.64324121)",-76.64324121,39.30977597,vacant
86,1707 N CAREY ST,"(39.30907584, -76.6427263)",-76.6427263,39.30907584,vacant
87,1908 DRUID HILL AVE,"(39.30677018, -76.63483641)",-76.63483641,39.30677018,vacant
88,107 N HOWARD ST,"(39.29073259, -76.61921092)",-76.61921092,39.29073259,vacant
89,2104 EAGLE ST,"(39.28056347, -76.64933302)",-76.64933302,39.28056347,vacant
90,1347 GLYNDON AVE,"(39.28096927, -76.63757631)",-76.63757631,39.28096927,vacant
91,1220 CLEVELAND ST,"(39.28012403, -76.63313967)",-76.63313967,39.28012403,vacant
92,775 CARROLL ST,"(39.28197942, -76.62814903)",-76.62814903,39.28197942,vacant
93,1205 E PRESTON ST,"(39.30490826, -76.60153842)",-76.60153842,39.30490826,vacant
94,1212 N BOND ST,"(39.30482475, -76.59687707)",-76.59687707,39.30482475,vacant
95,1223 N CAROLINE ST,"(39.30476771, -76.59772551)",-76.59772551,39.30476771,vacant
96,1828 N CHESTER ST,"(39.31152594, -76.58888589)",-76.58888589,39.31152594,vacant
97,1706 N WOLFE ST,"(39.30994021, -76.59184761)",-76.59184761,39.30994021,vacant
98,1638 N BRADFORD ST,"(39.30985999, -76.58529956)",-76.58529956,39.30985999,vacant
99,1410 N GAY ST,"(39.30686594, -76.59115322)",-76.59115322,39.30686594,vacant
100,1408 N GAY ST,"(39.30682426, -76.59116881)",-76.59116881,39.30682426,vacant
101,1402 N MONTFORD AVE,"(39.30719016, -76.58448412)",-76.58448412,39.30719016,vacant
102,1232 N CURLEY ST,"(39.30577737, -76.57654284)",-76.57654284,39.30577737,vacant
103,1707 WESTWOOD AVE,"(39.30868471, -76.64521986)",-76.64521986,39.30868471,vacant
104,1703 WESTWOOD AVE,"(39.30868774, -76.64511791)",-76.64511791,39.30868774,vacant
105,1726 N MOUNT ST,"(39.30855459, -76.64516938)",-76.64516938,39.30855459,vacant
106,1722 N MOUNT ST,"(39.30848991, -76.64516322)",-76.64516322,39.30848991,vacant
107,2536 E EAGER ST,"(39.3020481, -76.58151278)",-76.58151278,39.3020481,vacant
108,2639 ASHLAND AVE,"(39.30087416, -76.57979432)",-76.57979432,39.30087416,vacant
109,2319 MCELDERRY ST,"(39.29744074, -76.58439371)",-76.58439371,39.29744074,vacant
110,2121 E FAIRMOUNT AVE,"(39.29274295, -76.58651081)",-76.58651081,39.29274295,vacant
111,455 BRUNSWICK ST,"(39.27940532, -76.65913947)",-76.65913947,39.27940532,vacant
112,150 S HILTON ST,"(39.28336832, -76.67242437)",-76.67242437,39.28336832,vacant
113,2339 EDMONDSON AVE,"(39.29452829, -76.6544517)",-76.6544517,39.29452829,vacant
114,25 S ELLAMONT ST,"(39.28509941, -76.67018481)",-76.67018481,39.28509941,vacant
115,230 S MONASTERY AVE,"(39.28334502, -76.6812959)",-76.6812959,39.28334502,vacant
116,246 N HILTON ST,"(39.28986146, -76.67284465)",-76.67284465,39.28986146,vacant
117,3511 W MULBERRY ST,"(39.29163522, -76.67619861)",-76.67619861,39.29163522,vacant
118,422 N LOUDON AVE,"(39.29234194, -76.68277277)",-76.68277277,39.29234194,vacant
119,1722 RUXTON AVE,"(39.30814389, -76.65526668)",-76.65526668,39.30814389,vacant
120,2332 EDMONDSON AVE,"(39.29506303, -76.65431193)",-76.65431193,39.29506303,vacant
121,1806 BRADDISH AVE,"(39.30853512, -76.66129249)",-76.66129249,39.30853512,vacant
122,2915 BELMONT AVE,"(39.30327997, -76.6659239)",-76.6659239,39.30327997,vacant
123,2917 BELMONT AVE,"(39.30327524, -76.6659744)",-76.6659744,39.30327524,vacant
124,2907 WINCHESTER ST,"(39.30108813, -76.66619769)",-76.66619769,39.30108813,vacant
125,2031 ORLEANS ST,"(39.29518214, -76.5882701)",-76.5882701,39.29518214,vacant
126,3016 EDMONDSON AVE,"(39.29459084, -76.66727238)",-76.66727238,39.29459084,vacant
127,3050 EDMONDSON AVE,"(39.29456252, -76.66814195)",-76.66814195,39.29456252,vacant
128,3036 HARLEM AVE,"(39.29596426, -76.6679032)",-76.6679032,39.29596426,vacant
129,955 ELLICOTT DRIVEWAY,"(39.29843223, -76.66863655)",-76.66863655,39.29843223,vacant
130,917 ALLENDALE ST,"(39.29852452, -76.67838633)",-76.67838633,39.29852452,vacant
131,4124 WALRAD ST,"(39.28018866, -76.6842452)",-76.6842452,39.28018866,vacant
132,222 S AUGUSTA AVE,"(39.28192385, -76.68503873)",-76.68503873,39.28192385,vacant
133,4002 MAINE AVE,"(39.32748673, -76.68610865)",-76.68610865,39.32748673,vacant
134,3807 CLIFTON AVE,"(39.31038899, -76.68199412)",-76.68199412,39.31038899,vacant
135,2916 W NORTH AVE,"(39.30938097, -76.6663401)",-76.6663401,39.30938097,vacant
136,2135 KOKO LANE,"(39.31228221, -76.66306491)",-76.66306491,39.31228221,vacant
137,1905 HERBERT ST,"(39.3102319, -76.6486453)",-76.6486453,39.3102319,vacant
138,2214 BRYANT AVE,"(39.31682353, -76.6491423)",-76.6491423,39.31682353,vacant
139,2602 ROSEWOOD AVE,"(39.33892017, -76.66447909)",-76.66447909,39.33892017,vacant
140,4224 PARK HEIGHTS AVE,"(39.3371612, -76.66491026)",-76.66491026,39.3371612,vacant
141,2525 PENNSYLVANIA AVE,"(39.31069749, -76.64285033)",-76.64285033,39.31069749,vacant
142,2225 MADISON AVE,"(39.31105758, -76.63594744)",-76.63594744,39.31105758,vacant
143,850 W NORTH AVE,"(39.3111532, -76.63011842)",-76.63011842,39.3111532,vacant
144,2327 LINDEN AVE,"(39.31373953, -76.63499707)",-76.63499707,39.31373953,vacant
145,318 E 22ND ST,"(39.3147188, -76.61203734)",-76.61203734,39.3147188,vacant
146,2427 BRENTWOOD AVE,"(39.31694487, -76.61013038)",-76.61013038,39.31694487,vacant
147,808 BONAPARTE AVE,"(39.31712807, -76.6026079)",-76.6026079,39.31712807,vacant
148,2005 KENNEDY AVE,"(39.31324691, -76.60409167)",-76.60409167,39.31324691,vacant
149,1028 E 20TH ST,"(39.31295693, -76.60439148)",-76.60439148,39.31295693,vacant
150,3048 MATHEWS ST,"(39.32560298, -76.60692029)",-76.60692029,39.32560298,vacant
151,1717 E 30TH ST,"(39.32513391, -76.59136773)",-76.59136773,39.32513391,vacant
152,1240 NORTHVIEW ROAD,"(39.34271144, -76.59740536)",-76.59740536,39.34271144,vacant
153,2609 KIRK AVE,"(39.32082352, -76.59904916)",-76.59904916,39.32082352,vacant
154,2617 KIRK AVE,"(39.32095694, -76.59891495)",-76.59891495,39.32095694,vacant
155,1532 GORSUCH AVE,"(39.3223274, -76.59599805)",-76.59599805,39.3223274,vacant
156,3227 LYNDALE AVE,"(39.31628919, -76.57759621)",-76.57759621,39.31628919,vacant
157,3234 LYNDALE AVE,"(39.31661792, -76.57735883)",-76.57735883,39.31661792,vacant
158,3343 ELMORA AVE,"(39.31573241, -76.5758927)",-76.5758927,39.31573241,vacant
159,3410 ELMORA AVE,"(39.31606262, -76.57544613)",-76.57544613,39.31606262,vacant
160,4101 CHESTERFIELD AVE,"(39.31500631, -76.56185699)",-76.56185699,39.31500631,vacant
161,3808 W ROGERS AVE,"(39.35028425, -76.68663386)",-76.68663386,39.35028425,vacant
